Experiment config name,greedy score,optimal score,2 Skills,4 Skills,8 Skills
00_4_8_2_0,566.002996456662,519.555,1.08939957551494,1.25908835414987,1.52904580737986
01_4_8_2_1,649.191482984184,591.076,1.09832150685222,1.00226868571403,1.34298338445245
02_4_8_2_2,638.628342856064,554.829,1.1510363424696,1.24756702348796,1.40994008016634
03_4_8_2_3,1025.04289522712,899.376,1.13972676080651,1.42019968276583,1.51028445820083
04_4_8_2_4,740.470922900644,600.699,1.23268213015278,1.06935242349679,1.35400028076457
05_4_8_2_5,614.381254547245,464.941,1.32141767352685,1.13076314832989,1.83022776733296
06_4_8_2_6,500.905759519951,492.15,1.01779083515179,1.38974670450544,1.82702045445133
07_4_8_2_7,767.298100316376,584.85,1.31195708355369,1.44432822749287,1.581090905817
08_4_8_2_8,698.772076703935,604.205,1.15651488601375,1.45296046834211,1.20212682690216
09_4_8_2_9,735.822422179306,660.417,1.11417849961359,1.53584694819743,1.60163972911132
10_4_8_2_10,782.122683368603,557.15,1.40379194717509,1.37051077239303,1.73862782369367
11_4_8_2_11,566.061240366599,361.701,1.56499772012408,1.24023781155579,1.35498940347957
12_4_8_2_12,723.898252611857,677.162,1.06901783120119,1.4403717486623,1.25365764036704
13_4_8_2_13,974.650428891022,788.252,1.23647060697724,1.60376902230717,1.09691077130464
14_4_8_2_14,703.366264458973,690.123,1.01918971612158,1.29458627221248,1.18449184242026
15_4_8_2_15,586.852075451627,535.655,1.09557845152501,1.23929628214595,1.37213504233769
16_4_8_2_16,1282.37267902932,980.459,1.3079309578772,1.19466880602637,1.3501840370513
17_4_8_2_17,550.56554194528,525.236,1.04822506824605,1.18017326595253,1.24245712481346
18_4_8_2_18,493.410834903044,415.4,1.18779690636265,1.57717463986228,1.71979216692407
19_4_8_2_19,1316.67675893066,1296.674,1.01542620499112,1.04301625805515,1.43109370887126
20_4_8_2_20,839.206379877233,701.141,1.19691528505284,1.18193888826592,1.21032036899424
21_4_8_2_21,546.453128269299,536.123,1.01926820574625,1.30601840516559,1.47735510228037
22_4_8_2_22,779.818316246746,714.418,1.0915434888913,1.63628757126359,1.16675499519089
23_4_8_2_23,642.201540392341,550.134,1.1673547542823,1.07556304005832,1.39834830354845
24_4_8_2_24,863.422066446616,863.562,0.999837957722336,1.15037379941923,1.22022147998508
25_4_8_2_25,1027.27305621277,874.817,1.17427194054616,1.27144642116428,1.40926657803474
26_4_8_2_26,525.051149101981,446.974,1.17467939768752,1.21299346718485,1.86357872069328
27_4_8_2_27,1394.77099232326,915.502,1.52350403639016,1.14210599828242,1.29088512139838
28_4_8_2_28,1323.57519450318,1182.288,1.1195031959245,1.23354028162256,1.19738522054952
29_4_8_2_29,904.087783604827,630.55,1.43380823662648,1.17401205752031,1.26129234709569
30_4_8_4_0,953.656183023489,757.418,,,
31_4_8_4_1,658.601778338232,657.111,,,
32_4_8_4_2,1149.01546646753,921.005,1.15377561424167,1.24390241752188,1.36356222290863
33_4_8_4_3,1281.6450017152,902.44,,,
34_4_8_4_4,546.460475455328,511.02,,,
35_4_8_4_5,715.101399582713,632.406,,,
36_4_8_4_6,1217.31110265052,875.923,,,
37_4_8_4_7,1306.01502344347,904.237,,,
38_4_8_4_8,870.333491260202,599.007,,,
39_4_8_4_9,1285.5438276619,837.026,,,
40_4_8_4_10,997.682503914323,727.964,,,
41_4_8_4_11,964.976951183478,778.058,,,
42_4_8_4_12,1059.69733958009,735.711,,,
43_4_8_4_13,1047.81767941732,653.347,,,
44_4_8_4_14,1247.15392578489,963.361,,,
45_4_8_4_15,1274.56293644698,1028.457,,,
46_4_8_4_16,966.820376672216,809.279,,,
47_4_8_4_17,954.061509582152,808.408,,,
48_4_8_4_18,1779.29903300847,1128.156,,,
49_4_8_4_19,801.115755421965,768.076,,,
50_4_8_4_20,729.738525126484,617.408,,,
51_4_8_4_21,782.918853344614,599.47,,,
52_4_8_4_22,1497.30948639832,915.065,,,
53_4_8_4_23,515.258154407301,479.059,,,
54_4_8_4_24,1028.24091388249,893.832,,,
55_4_8_4_25,1090.43695141523,857.635,,,
56_4_8_4_26,1148.17230929196,946.561,,,
57_4_8_4_27,871.828898000883,763.352,,,
58_4_8_4_28,1230.29977130274,997.373,,,
59_4_8_4_29,651.233880402978,554.708,,,
60_4_8_8_0,1690.94882269428,1105.885,,,
61_4_8_8_1,1407.86559772212,1048.312,,,
62_4_8_8_2,1156.75573003079,820.429,,,
63_4_8_8_3,1087.00609480763,719.736,,,
64_4_8_8_4,1216.11295417235,898.163,,,
65_4_8_8_5,1550.56713425672,847.199,,,
66_4_8_8_6,1818.05891912225,995.095,,,
67_4_8_8_7,1567.86033711712,991.632,,,
68_4_8_8_8,1052.01003726593,875.124,,,
69_4_8_8_9,1791.16976645571,1118.335,,,
70_4_8_8_10,1466.05792388974,843.227,,,
71_4_8_8_11,1292.59891639635,953.955,,,
72_4_8_8_12,1371.92268752871,1094.336,,,
73_4_8_8_13,1103.91454657942,1006.385,,,
74_4_8_8_14,876.443417945709,739.932,,,
75_4_8_8_15,1415.64270026013,1031.708,,,
76_4_8_8_16,1113.5440317975,824.735,,,
77_4_8_8_17,1400.76976920007,1127.419,,,
78_4_8_8_18,1318.2052178178,766.491,,,
79_4_8_8_19,1391.14759017554,972.087,,,
80_4_8_8_20,1206.11329539162,996.524,,,
81_4_8_8_21,947.773528186335,641.534,,,
82_4_8_8_22,1097.7764398752,940.88,,,
83_4_8_8_23,1290.61255850156,922.955,,,
84_4_8_8_24,1300.92204778537,1066.136,,,
85_4_8_8_25,1473.69824598249,1045.72,,,
86_4_8_8_26,1052.7058020601,564.884,,,
87_4_8_8_27,1135.38509967473,879.54,,,
88_4_8_8_28,1351.97723160423,1129.108,,,
89_4_8_8_29,985.186623270017,781.093,,,
