Experiment config name,median score,mean score,median run time,mean run time
00_4_8_2_0,1921.79346775222,0.000978231430054,,
01_4_8_2_1,2015.17039641065,0.000989198684692,,
02_4_8_2_2,1665.97849266303,0.000922918319702,,
03_4_8_2_3,2461.96380436198,0.001110315322876,,
04_4_8_2_4,1726.41940618816,0.001034259796143,,
05_4_8_2_5,1572.81543847956,0.001047849655151,,
06_4_8_2_6,1492.60608584445,0.001050472259521,,
07_4_8_2_7,2316.50232675633,0.00102686882019,,
08_4_8_2_8,2058.24282218729,0.00108814239502,,
09_4_8_2_9,1738.80740675703,0.001034259796143,,
10_4_8_2_10,2437.48781588521,0.001099109649658,,
11_4_8_2_11,1731.55398019424,0.001234531402588,,
12_4_8_2_12,2497.00491030402,0.001258611679077,,
13_4_8_2_13,3498.72692519129,0.001188039779663,,
14_4_8_2_14,2089.28212246087,0.001081466674805,,
15_4_8_2_15,2117.90831887918,0.0010826587677,,
16_4_8_2_16,3158.34848351571,0.001074075698853,,
17_4_8_2_17,1589.9499289033,0.001002073287964,,
18_4_8_2_18,1716.71808580971,0.001063346862793,,
19_4_8_2_19,2009.4626704804,0.000959873199463,,
20_4_8_2_20,2212.4124764913,0.001141548156738,,
21_4_8_2_21,1726.95302915325,0.001053094863892,,
22_4_8_2_22,2032.08041499305,0.001089811325073,,
23_4_8_2_23,2073.63663630892,0.001174926757813,,
24_4_8_2_24,1207.36507745615,0.000959396362305,,
25_4_8_2_25,1983.83733095965,0.001029491424561,,
26_4_8_2_26,1612.0447728214,0.000973701477051,,
27_4_8_2_27,3625.10369827077,0.001179933547974,,
28_4_8_2_28,3374.07076131858,0.001111745834351,,
29_4_8_2_29,2370.88064982332,0.001126050949097,,
30_4_8_4_0,3580.82887951692,0.001245737075806,,
31_4_8_4_1,2575.06984508299,0.001152753829956,,
32_4_8_4_2,4188.92126967228,0.001353740692139,,
33_4_8_4_3,3669.59093863381,0.001101493835449,,
34_4_8_4_4,1836.30348557516,0.001022100448608,,
35_4_8_4_5,2436.96331704695,0.001285076141357,,
36_4_8_4_6,3495.14368599647,0.001275300979614,,
37_4_8_4_7,3744.85009423434,0.00121283531189,,
38_4_8_4_8,2051.92162208421,0.00100588798523,,
39_4_8_4_9,4399.22591624197,0.001059055328369,,
40_4_8_4_10,3656.49413336998,0.001219034194946,,
41_4_8_4_11,3218.75843198272,0.001308917999268,,
42_4_8_4_12,2270.39610706435,0.001205444335938,,
43_4_8_4_13,2511.75200112691,0.001221895217896,,
44_4_8_4_14,2981.36395837537,0.001199007034302,,
45_4_8_4_15,4183.39363911914,0.001148462295532,,
46_4_8_4_16,3403.2537140604,0.00120210647583,,
47_4_8_4_17,3152.44603984109,0.001118183135986,,
48_4_8_4_18,4048.86327659465,0.001152038574219,,
49_4_8_4_19,2915.90093539927,0.001303434371948,,
50_4_8_4_20,2474.98824916766,0.001190662384033,,
51_4_8_4_21,2507.0395624403,0.001094102859497,,
52_4_8_4_22,4655.66265374891,0.001237392425537,,
53_4_8_4_23,1604.48770895986,0.001078605651855,,
54_4_8_4_24,2772.76917655788,0.001193284988403,,
55_4_8_4_25,1921.50372169963,0.001045703887939,,
56_4_8_4_26,2785.52612333152,0.00104808807373,,
57_4_8_4_27,2169.69224357767,0.00103759765625,,
58_4_8_4_28,3131.73572692388,0.001128196716309,,
59_4_8_4_29,2121.82077513542,0.001062870025635,,
60_4_8_8_0,5977.6382604626,0.001259088516235,,
61_4_8_8_1,5052.29973699912,0.001235485076904,,
62_4_8_8_2,4446.68593883747,0.00127387046814,,
63_4_8_8_3,3893.56110199549,0.001421451568604,,
64_4_8_8_4,3416.89582754012,0.001199722290039,,
65_4_8_8_5,5601.1684285073,0.001207590103149,,
66_4_8_8_6,5545.04122437336,0.00132942199707,,
67_4_8_8_7,6131.83342384231,0.001281976699829,,
68_4_8_8_8,4106.23299479352,0.001291751861572,,
69_4_8_8_9,5383.29655771978,0.001375913619995,,
70_4_8_8_10,5209.64780917278,0.001280307769775,,
71_4_8_8_11,4086.80236872165,0.001432657241821,,
72_4_8_8_12,3877.85639332817,0.001269340515137,,
73_4_8_8_13,4126.84011743934,0.001307487487793,,
74_4_8_8_14,2973.59443755937,0.001160621643066,,
75_4_8_8_15,4797.93734047607,0.00117564201355,,
76_4_8_8_16,3815.20898374003,0.001277685165405,,
77_4_8_8_17,5004.65350876851,0.001364707946777,,
78_4_8_8_18,3978.8607038884,0.001207113265991,,
79_4_8_8_19,4346.14124694167,0.001275777816772,,
80_4_8_8_20,4220.23408906908,0.001363754272461,,
81_4_8_8_21,2847.16686067684,0.001236200332642,,
82_4_8_8_22,3403.94806855351,0.001142978668213,,
83_4_8_8_23,4262.4689961117,0.001269817352295,,
84_4_8_8_24,5139.65349365471,0.001415491104126,,
85_4_8_8_25,5727.055241419,0.001456737518311,,
86_4_8_8_26,3280.52512135186,0.001181602478027,,
87_4_8_8_27,4053.70428075841,0.001384496688843,,
88_4_8_8_28,4837.76642019545,0.001528978347778,,
89_4_8_8_29,3695.16499043715,0.001152515411377,,
