Experiment config name,,,,,score,memory used,run time,,180_4_8_4_0,210_4_16_4_0,240_4_32_4_0,300_8_32_4_0,330_16_32_4_0,360_4_8_8_0,390_4_16_8_0,420_4_32_8_0,480_8_32_8_0,510_16_32_8_0
180_4_8_4_0,0.999266468228885,-3.41827750288958,-1.61052568112586,,0.202361309064919,-3.5756127505716,-0.897268579100879,,0.999266468228885,1.1215576598487,1.25247609631879,1.03119256837947,1.23134436547856,1.33095287839035,1.261481058303,0.671802654125747,1.09490886011152,1.59353390809094
210_4_16_4_0,1.1215576598487,-3.43211572423938,-0.0026691894604,,0.170305748075946,-3.48800782412287,-0.441545013942015,,1.30686903854813,1.08545894357041,1.02752451381208,1.58211163411953,1.88619109745773,1.30389017560257,1.06623002310508,,1.10567469128833,1.48015006331963
240_4_32_4_0,1.25247609631879,-3.32940613376195,0.041707998680074,,0.221974935442332,-3.40912893049405,-1.07744196396236,,1.33819352976511,1.31891320381021,1.09634417561914,1.18889499550973,1.36667520104935,1.13027138741176,1.18982824321502,,,1.66715099302771
300_8_32_4_0,1.03119256837947,-3.69650079001075,0.445382668013601,,,,,,1.0435359253547,1.49322705936312,1.12629276719821,1.49058770689511,1.54571421110982,1.12988649996915,1.62520584028845,,,
330_16_32_4_0,1.23134436547856,-3.51073620961803,-1.0803465961745,,,,,,,,,,,,,,,
360_4_8_8_0,1.33095287839035,-2.79615732952044,-0.662104039176373,,,,,,,,,,,,,,,
390_4_16_8_0,1.261481058303,-3.2070993225141,-0.012422978174771,,,,,,,,,,,,,,,
420_4_32_8_0,#VALUE!,,,,,,,,,,,,,,,,,
480_8_32_8_0,#DIV/0!,,,,,,,,,,,,,,,,,
510_16_32_8_0,1.59353390809094,-3.5756127505716,-0.897268579100879,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
181_4_8_4_1,1.30686903854813,-3.27830298228747,-2.08605434002451,,,,,,,,,,,,,,,
211_4_16_4_1,1.08545894357041,-3.09043746189316,-0.006430429149981,,,,,,,,,,,,,,,
241_4_32_4_1,1.02752451381208,-3.54327127415896,0.020683491010794,,,,,,,,,,,,,,,
301_8_32_4_1,1.58211163411953,-3.26211824062881,0.672091513926753,,,,,,,,,,,,,,,
331_16_32_4_1,1.88619109745773,-3.60801766826734,-1.06676306442342,,,,,,,,,,,,,,,
361_4_8_8_1,1.30389017560257,-2.78803010238999,-0.300927010697664,,,,,,,,,,,,,,,
391_4_16_8_1,1.06623002310508,-3.5779532292187,-0.115260339680626,,,,,,,,,,,,,,,
421_4_32_8_1,#DIV/0!,,,,,,,,,,,,,,,,,
481_8_32_8_1,1.09490886011152,-3.2576964067439,0.0201769187224,,,,,,,,,,,,,,,
511_16_32_8_1,1.48015006331963,-3.48800782412287,-0.441545013942015,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
182_4_8_4_2,1.33819352976511,-3.03971677445162,-0.679564803635494,,,,,,,,,,,,,,,
212_4_16_4_2,1.31891320381021,-3.41304232860859,-0.029835245774053,,,,,,,,,,,,,,,
242_4_32_4_2,1.09634417561914,-3.56937323461137,1.27772532061382,,,,,,,,,,,,,,,
302_8_32_4_2,1.18889499550973,-3.54024678753604,-0.073081566974478,,,,,,,,,,,,,,,
332_16_32_4_2,1.36667520104935,-3.49950430883063,-1.07559014683607,,,,,,,,,,,,,,,
362_4_8_8_2,1.13027138741176,-3.07406232545306,-1.42205369318754,,,,,,,,,,,,,,,
392_4_16_8_2,1.18982824321502,-3.45976733553945,-0.020074225994381,,,,,,,,,,,,,,,
422_4_32_8_2,0.671802654125747,-3.57226731237138,0.095363462124482,,,,,,,,,,,,,,,
482_8_32_8_2,1.10567469128833,-3.43950694936079,0.025604193231322,,,,,,,,,,,,,,,
512_16_32_8_2,1.66715099302771,-3.40912893049405,-1.07744196396236,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
183_4_8_4_3,1.0435359253547,-2.96304656529976,-0.236610204634427,,,,,,,,,,,,,,,
213_4_16_4_3,1.49322705936312,-3.30288134744759,-0.945812432352664,,,,,,,,,,,,,,,
243_4_32_4_3,1.12629276719821,-3.25222096637504,1.39526359039391,,,,,,,,,,,,,,,
303_8_32_4_3,1.49058770689511,-3.64170438342894,0.004838756173345,,,,,,,,,,,,,,,
333_16_32_4_3,1.54571421110982,-3.41262704708321,0.320789872053042,,,,,,,,,,,,,,,
363_4_8_8_3,1.12988649996915,-2.95007767646521,-0.573438731216263,,,,,,,,,,,,,,,
393_4_16_8_3,1.62520584028845,-3.23240193046742,0.206193568187978,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.23134436547856,,,,,
,,,,,,,,,,,,,1.88619109745773,,,,,
