Experiment config name,score,memory used,run time
86_4_8_8_26,564.884,276975616,4.6253180503845215
05_4_8_2_5,464.941,214605824,0.7821769714355469
51_4_8_4_21,599.47,279584768,7.83381199836731
60_4_8_8_0,1105.885,350433280,45.798643827438354
45_4_8_4_15,1028.457,315867136,16.463011980056763
80_4_8_8_20,996.524,1543438336,836.9239890575409
70_4_8_8_10,843.227,306237440,7.870181083679199
28_4_8_2_28,1182.288,395972608,20.877985954284668
43_4_8_4_13,653.347,330248192,37.73175406455994
66_4_8_8_6,995.095,390230016,48.59150004386902
79_4_8_8_19,972.087,1329582080,676.2647588253021
32_4_8_4_2,921.005,641990656,125.33704400062561
58_4_8_4_28,997.373,244396032,1.9427549839019775
14_4_8_2_14,690.123,262356992,6.24051308631897
82_4_8_8_22,940.88,329682944,21.255064010620117
83_4_8_8_23,922.955,471343104,79.69798302650452
22_4_8_2_22,714.418,272584704,3.4738240242004395
65_4_8_8_5,847.199,320040960,15.455652952194214
37_4_8_4_7,904.237,322265088,36.01204800605774
87_4_8_8_27,879.54,436338688,67.61587309837341
59_4_8_4_29,554.708,280096768,5.559751987457275
84_4_8_8_24,1066.136,1829773312,850.4467751979828
53_4_8_4_23,479.059,247349248,1.7583940029144287
34_4_8_4_4,511.02,249593856,1.715350866317749
57_4_8_4_27,763.352,232632320,1.865833044052124
08_4_8_2_8,604.205,274345984,8.863740921020508
62_4_8_8_2,820.429,1034735616,437.21540784835815
69_4_8_8_9,1118.335,2494590976,891.9436841011047
13_4_8_2_13,788.252,269070336,1.2355999946594238
04_4_8_2_4,600.699,276635648,4.052789926528931
42_4_8_4_12,735.711,195719168,0.5927188396453857
00_4_8_2_0,519.555,196403200,0.5745739936828613
49_4_8_4_19,768.076,310726656,22.19746685028076
40_4_8_4_10,727.964,346804224,24.61096501350403
71_4_8_8_11,953.955,2008190976,791.3764309883118
89_4_8_8_29,781.093,296189952,20.682249069213867
23_4_8_2_23,550.134,295329792,15.156485080718994
27_4_8_2_27,915.502,531947520,75.34868311882019
16_4_8_2_16,980.459,320425984,13.030874013900757
56_4_8_4_26,946.561,272797696,3.972774028778076
21_4_8_2_21,536.123,265961472,4.347172975540161
17_4_8_2_17,525.236,209412096,0.8340320587158203
03_4_8_2_3,899.376,257708032,4.326456785202026
29_4_8_2_29,630.55,282337280,5.6873650550842285
36_4_8_4_6,875.923,222269440,1.0774288177490234
47_4_8_4_17,808.408,274796544,3.9831128120422363
52_4_8_4_22,915.065,367689728,28.086605072021484
63_4_8_8_3,719.736,661336064,176.9419720172882
07_4_8_2_7,584.85,221171712,1.0989580154418945
12_4_8_2_12,677.162,284049408,9.237076997756958
26_4_8_2_26,446.974,220962816,0.8263139724731445
15_4_8_2_15,535.655,225112064,1.2746241092681885
88_4_8_8_28,1129.108,1212502016,466.1158518791199
76_4_8_8_16,824.735,1397104640,867.4817140102386
67_4_8_8_7,991.632,2200428544,969.523649930954
02_4_8_2_2,554.829,194015232,0.45716094970703125
39_4_8_4_9,837.026,220717056,1.3845350742340088
50_4_8_4_20,617.408,219299840,1.5511431694030762
81_4_8_8_21,641.534,285036544,7.39086389541626
31_4_8_4_1,657.111,297545728,15.449297904968262
01_4_8_2_1,591.076,187092992,0.4507148265838623
44_4_8_4_14,963.361,288407552,8.0540931224823
10_4_8_2_10,557.15,282816512,8.110697031021118
54_4_8_4_24,893.832,310693888,11.41541600227356
46_4_8_4_16,809.279,1190866944,536.4209079742432
19_4_8_2_19,1296.674,242724864,2.23699688911438
74_4_8_8_14,739.932,683843584,196.64304494857788
73_4_8_8_13,1006.385,3446484992,1585.9259700775146
61_4_8_8_1,1048.312,3096735744,1411.8109622001648
41_4_8_4_11,778.058,304754688,14.2831289768219
48_4_8_4_18,1128.156,382410752,37.42975902557373
64_4_8_8_4,898.163,238292992,1.3657679557800293
25_4_8_2_25,874.817,349609984,21.270339965820312
78_4_8_8_18,766.491,269131776,4.716050863265991
09_4_8_2_9,660.417,279171072,3.5307681560516357
30_4_8_4_0,757.418,356663296,26.269529104232788
72_4_8_8_12,1094.336,1835520000,598.9167160987854
20_4_8_2_20,701.141,225505280,0.7986838817596436
85_4_8_8_25,1045.72,8672014336,7995.402163028717
11_4_8_2_11,361.701,227725312,1.5882141590118408
06_4_8_2_6,492.15,200429568,0.42293500900268555
77_4_8_8_17,1127.419,307740672,20.91827416419983
24_4_8_2_24,863.562,205860864,1.7848880290985107
55_4_8_4_25,857.635,239902720,2.1418981552124023
18_4_8_2_18,415.4,294973440,8.862146854400635
75_4_8_8_15,1031.708,218324992,1.2973711490631104
35_4_8_4_5,632.406,590987264,278.856397151947
33_4_8_4_3,902.44,326766592,21.789480209350586
38_4_8_4_8,599.007,190726144,0.4905669689178467
68_4_8_8_8,875.124,756076544,277.3233699798584
